,Taxon, Habitat, Diet, Body Weight, BMR
19,Macrotis lagotis, Terrestrial, Grass,940.0,0.36
26,Lagorchestes conspicillatus, Terrestrial, Grass,2700.0,0.32
27,Macropus eugenii, Terrestrial, Grass,4796.0,0.29
28,Macropus rufus, Terrestrial, Grass,32490.0,0.18
145,Equus caballus, Terrestrial, Grass,260000.0,0.25
153,Tayassu tajacu, Terrestrial, Grass,20200.0,0.29
154,Camelus dromedarius, Terrestrial, Grass,407000.0,0.1
155,Cervus elaphus, Terrestrial, Grass,58000.0,0.28
156,Rangifer tarandus, Terrestrial, Grass,94000.0,0.25
157,Odocoileus virginianus, Terrestrial, Grass,58590.0,0.45
158,Capreolus capreolus, Terrestrial, Grass,21500.0,0.4
159,Antilocapra americanus, Terrestrial, Grass,32000.0,0.28
160,Tragelaphus oryx, Terrestrial, Grass,150000.0,0.24
161,Bos taurus, Terrestrial, Grass,272000.0,0.17
162,Kobus ellipsiprymnus, Terrestrial, Grass,100000.0,0.27
163,Connochaetus taurinus, Terrestrial, Grass,140000.0,0.2
164,Oreamnos americanus, Terrestrial, Grass,32000.0,0.26
165,Capra sp., Terrestrial, Grass,36000.0,0.19
166,Ovis aries, Terrestrial, Grass,30000.0,0.34
167,Ovis canadensis, Terrestrial, Grass,65000.0,0.34
203,Baiomys taylori, Terrestrial, Grass,7.3,2.0
205,Sigmodon hispidus, Terrestrial, Grass,141.0,1.03
216,Lemmus sibericus, Terrestrial, Grass,64.0,2.47
220,Alticola roylei, Terrestrial, Grass,53.0,2.3
221,Arvicola richardsoni, Terrestrial, Grass,51.0,1.74
222,Arvicola terrestris, Terrestrial, Grass,97.0,1.16
223,Ondatra zibethicus, Terrestrial, Grass,842.0,0.82
224,Neofiber alleni, Terrestrial, Grass,276.0,0.85
226,Microtus arvalis, Terrestrial, Grass,20.0,2.5
227,Microtus californicus, Terrestrial, Grass,44.0,1.55
228,Microtus longicaudus, Terrestrial, Grass,27.0,2.67
229,Microtus mexicanus, Terrestrial, Grass,28.0,1.63
230,Microtus montanus, Terrestrial, Grass,31.0,2.65
231,Microtus nivalis, Terrestrial, Grass,35.0,3.06
232,Microtus ochragaster, Terrestrial, Grass,51.0,1.18
233,Microtus oeconomus, Terrestrial, Grass,32.0,2.5
234,Microtus pennsylvanicus, Terrestrial, Grass,38.0,1.93
235,Microtus pinetorum, Terrestrial, Grass,25.0,1.98
236,Microtus agrestis, Terrestrial, Grass,22.0,2.99
240,Golunda ellioti, Terrestrial, Grass,56.0,1.08
241,Lemniscomys griselda, Terrestrial, Grass,51.0,1.21
246,Cavia porcellus, Terrestrial, Grass,570.0,0.7
250,Chinchilla lanigera, Terrestrial, Grass,403.0,0.7
252,Myocaster coypus, Terrestrial, Grass,4325.0,0.7
256,Ochoton princeps, Terrestrial, Grass,109.0,1.53
257,Lepus alleni, Terrestrial, Grass,3362.0,0.45
258,Lepus americanus, Terrestrial, Grass,1581.0,0.9
259,Lepus californicus, Terrestrial, Grass,1989.0,0.56
260,Lepus timidus, Terrestrial, Grass,3004.0,0.36
261,Sylvilagus audubonii, Terrestrial, Grass,702.0,0.63
